kepid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_depth,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec
8556077,"K02027.01","FALSE POSITIVE",3.635723653,6.984e-06,-6.984e-06,2.1862,80,1.23,0.21,-0.17,1478.0,1126.72,0.677,43.10,6422.00,4.249,1.2950,290.338130,44.603870
7102316,"K02028.01","CONFIRMED",57.2488518,0.000324,-0.000324,6.083,1455.6,3.19,0.88,-0.29,431.0,8.17,0.022,29.80,5642.00,4.542,0.8460,286.452700,42.657879
5023956,"K00233.01","FALSE POSITIVE",1.824649,1.103e-06,-1.103e-06,4.2285,3218.5,5.31,0.7,-0.64,1508.0,1222.28,0.901,184.30,6190.00,4.487,0.7930,295.241820,40.155209
7102316,"K02028.02","CONFIRMED",37.0551726,0.0002608,-0.0002608,5.439,1028.8,3.19,0.88,-0.29,498.0,14.59,0.884,23.20,5642.00,4.542,0.8460,286.452700,42.657879
7102316,"K02028.03","CONFIRMED",142.545,0.002746,-0.002746,8.75,905.4,2.52,0.69,-0.23,318.0,2.42,0.015,13.70,5642.00,4.542,0.8460,286.452700,42.657879
6525946,"K02093.03","CANDIDATE",0.496069986,1.637e-06,-1.637e-06,1.5568,128.8,10,3.79,-1.26,6285.0,369989.68,0.269,22.10,5096.00,2.435,8.7690,292.954160,41.934799
8505920,"K02094.01","CONFIRMED",42.4269647,0.0003313,-0.0003313,5.907,632.4,3.44,0.55,-0.45,496.0,14.33,0.962,26.00,5330.00,4.366,1.0130,295.662870,44.525841
8505920,"K02094.02","CONFIRMED",198.680859,0.002424,-0.002424,8.282,645.4,2.79,0.45,-0.36,297.0,1.83,0.746,16.60,5330.00,4.366,1.0130,295.662870,44.525841
8026752,"K00240.01","CONFIRMED",4.286866229,3.232e-06,-3.232e-06,4.4726,1321.9,4.14,1.31,-0.43,1217.0,517.66,0.757,167.30,6228.00,4.441,1.0490,291.080140,43.860199
7918992,"K02095.01","CONFIRMED",1.434745129,3.371e-06,-3.371e-06,1.862,200.7,1.5,0.23,-0.13,1664.0,1813.00,0.108,28.40,5806.00,4.400,1.0640,299.785460,43.670750
