kepoi_name,koi_disposition,target,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_srad
K02826.01,FALSE POSITIVE,0,1.85373924,1.816,348.6,0.23,345.0,3.36,0.551,18.0,2661.0,5.283,0.116
K02827.01,CONFIRMED,2,7.06321927,2.411,207.2,1.21,827.0,110.22,0.56,12.6,5305.0,4.489,0.818
K02828.01,CONFIRMED,2,59.4969009,5.404,1262.1,2.92,369.0,4.36,0.406,23.2,4817.0,4.499,0.833
K02828.02,CANDIDATE,1,505.462916,10.127,1724.0,3.46,181.0,0.25,0.489,17.6,4817.0,4.499,0.833
K02829.01,CONFIRMED,2,10.61345333,0.9829,150.2,1.77,987.0,224.63,0.535,20.0,5865.0,4.163,1.388
K02909.01,FALSE POSITIVE,0,0.77359329,1.7603,80.6,0.82,1890.0,3022.82,0.388,21.7,5747.0,4.508,0.907
K02910.01,CONFIRMED,2,15.3626052,3.736,468.3,1.8,608.0,32.23,0.25,19.7,5011.0,4.484,0.851
K02911.01,FALSE POSITIVE,0,12.4258343,28.1171,449.4,2.75,830.0,111.92,0.967,72.0,6185.0,4.472,0.991
K02912.01,FALSE POSITIVE,0,0.873227249,0.7948,221.8,1.68,2152.0,5053.02,0.14,21.9,6341.0,4.409,1.111
K02913.01,CONFIRMED,2,2.88878583,2.977,40.9,0.84,1423.0,969.05,0.242,17.2,5696.0,4.247,1.331
K02914.01,CANDIDATE,1,21.1181653,9.734,112.7,2.89,1110.0,359.11,0.675,26.3,6461.0,3.779,2.566
K02915.01,CANDIDATE,1,5.06092282,2.586,71.6,0.98,998.0,234.93,0.944,15.7,5637.0,4.492,0.911
K00046.02,CONFIRMED,2,6.02977241,3.961,54.6,1.18,1204.0,496.46,0.379,11.5,5576.0,4.065,1.593
K00307.01,CONFIRMED,2,19.67409703,3.7535,204.9,1.78,711.0,60.37,0.914,39.0,6023.0,4.423,1.031
K03008.01,CONFIRMED,2,2.99792926,4.398,45.4,1.12,1616.0,1611.51,0.403,16.0,5888.0,4.061,1.645
K03009.01,CONFIRMED,2,0.764863517,1.16,150.2,1.04,1733.0,2145.14,0.235,13.6,5231.0,4.476,0.86
K03010.01,CONFIRMED,2,60.8660974,4.397,714.3,1.39,244.0,0.84,0.004,15.4,3808.0,4.734,0.522
K03011.01,FALSE POSITIVE,0,2.11547854,3.665,222.9,1.66,1521.0,1264.56,0.755,21.6,6208.0,4.454,1.024
K03012.01,FALSE POSITIVE,0,1.086486129,0.8383,66.0,1.69,2539.0,9816.28,0.524,20.2,5911.0,3.861,2.0
K00314.03,CONFIRMED,2,10.31282204,2.0138,137.6,0.59,443.0,9.07,0.061,22.0,3846.0,4.738,0.503
K03097.03,CONFIRMED,2,8.70312154,4.807,32.0,0.72,945.0,188.7,0.886,13.0,6006.0,4.403,1.082
K03098.01,FALSE POSITIVE,0,1.332557603,6.043,225.3,19.88,1703.0,1983.27,1.174,28.1,6091.0,4.487,0.967
K03099.01,FALSE POSITIVE,0,14.0498182,2.907,472.0,1.45,480.0,12.56,0.569,14.5,4228.0,4.618,0.652
K03100.01,FALSE POSITIVE,0,0.812587678,1.1144,62.9,1.54,2717.0,12840.3,0.515,21.7,6143.0,4.009,1.877
K03101.01,CONFIRMED,2,14.2563272,4.796,206.1,1.73,797.0,95.22,0.894,14.3,6140.0,4.455,1.027
K03104.01,CANDIDATE,1,1.236866732,1.242,187.2,1.75,1569.0,1439.3,0.982,14.2,5621.0,4.514,0.879
K00321.01,CONFIRMED,2,2.426304127,2.6624,185.4,1.41,1302.0,679.12,0.694,97.0,5678.0,4.484,0.97
K03216.01,FALSE POSITIVE,0,5.660274452,0.9077,414.1,11.02,950.0,192.77,1.092,26.4,5615.0,4.478,0.842
K03217.01,FALSE POSITIVE,0,5.09506,5.73,23.6,2.14,2247.0,6030.14,0.691,7.6,6700.0,3.48,4.146
K03218.01,FALSE POSITIVE,0,1.21374652,3.371,28.9,0.59,1880.0,2945.61,0.57,17.4,6238.0,4.407,1.049
K03219.01,FALSE POSITIVE,0,0.544561598,1.6053,35.2,44.9,11804.0,4601339.96,0.214,31.1,3715.0,0.851,80.529
K03220.01,CONFIRMED,2,81.4160138,14.175,762.3,4.63,522.0,17.53,0.911,54.3,6352.0,4.267,1.401
K03221.01,FALSE POSITIVE,0,53.912783631,44.0504,216.7,4.25,697.0,55.85,0.984,56.4,6085.0,3.917,2.02
K03318.01,CONFIRMED,2,13.8353959,4.961,818.0,3.78,809.0,101.05,0.94,10.3,6020.0,4.403,1.057
K03318.02,CANDIDATE,1,25.6970688,3.739,835.0,3.83,658.0,44.24,0.943,6.4,6020.0,4.403,1.057
K03319.01,CONFIRMED,2,19.5906103,6.745,297.0,2.64,819.0,106.48,0.529,24.9,5794.0,4.118,1.496
K03319.02,CONFIRMED,2,8.23983041,5.619,251.0,2.35,1093.0,338.17,0.012,29.4,5794.0,4.118,1.496
K03319.03,CONFIRMED,2,3.54553077,4.143,119.2,1.62,1448.0,1039.47,0.143,18.1,5794.0,4.118,1.496
K03320.01,FALSE POSITIVE,0,85.0624157,4.6964,41901.0,21.26,355.0,3.74,0.819,495.3,5223.0,4.52,0.875
K03321.01,FALSE POSITIVE,0,10.882416555,5.4674,16629.5,29.69,632.0,37.81,1.199,265.2,4946.0,4.57,0.715
K00335.01,FALSE POSITIVE,0,46.56675437,7.831,801.1,5.25,708.0,59.34,0.87,111.3,6629.0,4.132,1.619
K03402.01,FALSE POSITIVE,0,36.514374043,6.48255,111620.0,33.27,546.0,21.08,0.133,1701.1,5811.0,4.465,1.0
K03403.01,CONFIRMED,2,39.818832,10.757,199.1,2.23,650.0,42.32,0.6,29.4,5710.0,4.073,1.524
K03403.02,CONFIRMED,2,6.15828666,6.329,57.7,1.2,1212.0,510.35,0.595,16.4,5710.0,4.073,1.524
K03404.01,CONFIRMED,2,82.292865,7.048,371.1,1.82,400.0,6.07,0.195,13.0,5626.0,4.467,0.957
